                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  2 Data Points per Second

File Name:        R&D-033019-jackT-groups-2-1-3 4
Date & Time:     4/1/2019 12:00:20 PM

Sample No.,Barcode,Time ( .5s),Temperature,
Counts
 4 ,N1034   , 222.5 ,199.86,201
 4 ,N1034   , 223 ,199.91,204
 4 ,N1034   , 223.5 ,199.94,205
 4 ,N1034   , 224 ,200.29,203
 4 ,N1034   , 224.5 ,200.53,202
 4 ,N1034   , 225 ,201.35,199
 4 ,N1034   , 225.5 ,201.57,203
 4 ,N1034   , 226 ,202.71,197
 4 ,N1034   , 226.5 ,203.14,193
 4 ,N1034   , 227 ,203.09,190
 4 ,N1034   , 227.5 ,203.06,184
 4 ,N1034   , 228 ,204.04,186
 4 ,N1034   , 228.5 ,205.03,181
 4 ,N1034   , 229 ,205.35,180
 4 ,N1034   , 229.5 ,205.57,171
 4 ,N1034   , 230 ,206.05,168
 4 ,N1034   , 230.5 ,206.03,159
 4 ,N1034   , 231 ,206.69,156
 4 ,N1034   , 231.5 ,207.12,150
 4 ,N1034   , 232 ,207.42,145
 4 ,N1034   , 232.5 ,208.28,138
 4 ,N1034   , 233 ,208.52,132
 4 ,N1034   , 233.5 ,208.68,124
 4 ,N1034   , 234 ,209.45,120
 4 ,N1034   , 234.5 ,208.97,112
 4 ,N1034   , 235 ,209.65,107
 4 ,N1034   , 235.5 ,210.10,100
 4 ,N1034   , 236 ,210.73,94
 4 ,N1034   , 236.5 ,210.49,89
 4 ,N1034   , 237 ,210.33,83
 4 ,N1034   , 237.5 ,210.55,77
 4 ,N1034   , 238 ,211.37,69
 4 ,N1034   , 238.5 ,211.91,62
 4 ,N1034   , 239 ,212.61,58
 4 ,N1034   , 239.5 ,213.07,53
 4 ,N1034   , 240 ,213.38,47
 4 ,N1034   , 240.5 ,214.25,43
 4 ,N1034   , 241 ,214.50,40
 4 ,N1034   , 241.5 ,215.00,35
 4 ,N1034   , 242 ,214.67,34
 4 ,N1034   , 242.5 ,215.11,27
 4 ,N1034   , 243 ,215.41,26
 4 ,N1034   , 243.5 ,215.94,24
 4 ,N1034   , 244 ,215.96,21
 4 ,N1034   , 244.5 ,216.97,21
 4 ,N1034   , 245 ,216.98,19
 4 ,N1034   , 245.5 ,217.32,17
 4 ,N1034   , 246 ,217.55,15
 4 ,N1034   , 246.5 ,218.03,15
 4 ,N1034   , 247 ,218.35,13
 4 ,N1034   , 247.5 ,218.24,13
 4 ,N1034   , 248 ,218.82,13
 4 ,N1034   , 248.5 ,219.55,11
 4 ,N1034   , 249 ,220.03,7
 4 ,N1034   , 249.5 ,220.02,12
 4 ,N1034   , 250 ,220.68,11
 4 ,N1034   , 250.5 ,221.12,11
 4 ,N1034   , 251 ,221.41,12
 4 ,N1034   , 251.5 ,221.94,10
 4 ,N1034   , 252 ,222.30,11
 4 ,N1034   , 252.5 ,222.53,10
 4 ,N1034   , 253 ,222.69,10
 4 ,N1034   , 253.5 ,223.12,10
 4 ,N1034   , 254 ,223.08,11
 4 ,N1034   , 254.5 ,223.72,11
 4 ,N1034   , 255 ,224.48,11
 4 ,N1034   , 255.5 ,224.99,12
 4 ,N1034   , 256 ,224.99,10
 4 ,N1034   , 256.5 ,225.66,10
 4 ,N1034   , 257 ,226.11,12
 4 ,N1034   , 257.5 ,226.07,11
 4 ,N1034   , 258 ,226.71,11
 4 ,N1034   , 258.5 ,226.81,11
